,airline_sentiment,tweet_coord,nearest_city
21,2,"[40.74804263, -73.99295302]",New York City
28,0,"[42.361016, -71.02000488]",Chelsea
29,1,"[33.94540417, -118.4062472]",El Segundo
32,0,"[33.94209449, -118.40410103]",El Segundo
34,2,"[33.2145038, -96.9321504]",Frisco
42,1,"[34.0219817, -118.38591198]",Culver City
62,1,"[33.57963333, -117.73024772]",Aliso Viejo
69,0,"[40.6413712, -73.78311558]",Springfield Gardens
74,2,"[36.08457854, -115.13780136]",Paradise
108,1,"[37.79374402, -122.39327564]",San Francisco
115,0,"[26.074379, -80.1416831]",Dania Beach
124,2,"[33.9469039, -118.40716847]",El Segundo
126,0,"[51.04345575, -114.06071363]",Calgary
128,1,"[40.64662464, -73.77090177]",Springfield Gardens
147,2,"[33.94652852, -118.40766257]",El Segundo
189,2,"[38.9128188, -77.00798226]","Washington, D.C."
205,2,"[32.84359605, -96.84910929]",Dallas
211,0,"[32.8437698, -96.84928399]",Dallas
249,0,"[26.06726717, -80.14433663]",Dania Beach
264,2,"[32.8454782, -96.8504585]",Dallas
285,1,"[39.24087254, -94.63994975]",Gladstone
303,2,"[37.77465018, -122.44032176]",San Francisco
337,1,"[33.94696831, -118.40747994]",El Segundo
409,0,"[40.63767372, -74.11075451]",Port Richmond
473,1,"[40.78986648, -73.10068286]",Ronkonkoma
475,2,"[42.5696777, -71.42056878]",Westford
499,1,"[37.80065252, -122.43857414]",San Francisco
503,1,"[36.08546367, -115.31814055]",Summerlin South
511,0,"[19.43706642, -99.07927123]",Venustiano Carranza
527,2,"[39.8621249, -104.6740909]",Brighton
585,0,"[52.59657643, -2.19877833]",Wolverhampton
631,1,"[29.98386923, -95.33729612]",Aldine
632,0,"[29.98340611, -95.33682231]",Aldine
633,0,"[29.98350019, -95.33675519]",Aldine
634,0,"[29.98377529, -95.33756559]",Aldine
636,0,"[29.98350283, -95.33678993]",Aldine
637,0,"[29.98384925, -95.3374653]",Aldine
638,0,"[29.98372726, -95.33734532]",Aldine
672,0,"[29.98521945, -90.25215941]",Kenner
673,0,"[29.98698389, -90.25081767]",Kenner
674,0,"[29.98699328, -90.25081691]",Kenner
676,0,"[29.98878092, -90.25836915]",Kenner
677,0,"[29.9880285, -90.25781369]",Kenner
684,0,"[29.987463, -90.25860012]",Kenner
685,0,"[29.98746669, -90.25862007]",Kenner
687,2,"[35.8057062, -78.7869445]",Cary
689,0,"[52.48854137, -1.91022836]",Birmingham
712,0,"[45.58711296, -122.58038932]",Orchards
721,2,"[59.38247253, 18.00789007]",R̴sunda
756,0,"[32.86680572, -80.01338439]",North Charleston
766,1,"[41.9785651, -87.90833965]",Bensenville
768,1,"[53.36729431, -2.27861694]",Hale
769,0,"[41.98202331, -87.90374263]",Bensenville
787,1,"[37.7994546, -122.427629]",San Francisco
796,0,"[41.97777091, -87.90782014]",Bensenville
804,0,"[41.88298649, -87.63403627]",Chicago
809,1,"[35.8056542, -78.786848]",Cary
820,0,"[33.9411179, -118.3972405]",El Segundo
829,0,"[41.98191311, -87.80888924]",Niles
840,0,"[39.85862444, -104.6768992]",Brighton
846,2,"[38.9470418, -77.4511456]",Oak Hill
850,0,"[41.97758714, -87.91388554]",Bensenville
854,2,"[38.9470207, -77.4511745]",Oak Hill
914,0,"[40.68545235, -74.18374208]",Elizabeth
921,1,"[51.3228181, 5.3576138]",Bergeijk
936,0,"[26.07324041, -80.14510971]",Dania Beach
943,0,"[40.69943599, -74.17868875]",Newark
946,0,"[26.07694041, -80.13546475]",Dania Beach
952,0,"[40.6992418, -74.17884798]",Newark
969,0,"[28.62111274, -81.29294408]",Winter Park
976,0,"[40.69814396, -74.17906717]",Newark
977,0,"[39.85790482, -104.67039013]",Brighton
979,0,"[39.85799572, -104.67056217]",Brighton
1002,0,"[51.72050559, 8.72711201]",Paderborn
1018,0,"[29.7420124, -95.5606921]",Bellaire
1027,0,"[40.6875448, -74.17714813]",Elizabeth
1039,0,"[19.43493094, -99.18877967]",Polanco
1052,0,"[29.7421541, -95.5600896]",Bellaire
1063,0,"[41.97745295, -87.91025951]",Bensenville
1069,0,"[41.97475934, -87.89040377]",Franklin Park
1071,2,"[51.322819, 5.3576218]",Bergeijk
1072,0,"[41.97474769, -87.89039148]",Franklin Park
1075,0,"[41.97758466, -87.91065356]",Bensenville
1085,0,"[29.98788997, -95.34470061]",Aldine
1106,0,"[45.52146907, -122.69810485]",Portland
1117,0,"[41.97495038, -87.89005988]",Franklin Park
1162,0,"[29.98877308, -95.33846478]",Aldine
1238,0,"[41.97883697, -87.90639116]",Bensenville
1265,1,"[45.67920767, -111.04847652]",Bozeman
1279,0,"[41.97888728, -87.90617197]",Bensenville
1293,0,"[33.64323551, -84.44248239]",East Point
1299,1,"[40.69450196, -74.1749219]",Newark
1337,0,"[39.24541389, -106.88172648]",Montrose
1343,2,"[20.0615871, 110.18390431]",Xiuying
1413,0,"[39.84911904, -104.67447584]",Aurora
1418,0,"[36.08161548, -115.14959772]",Paradise
1442,1,"[27.9746606, -82.5320172]",Egypt Lake-Leto
1451,0,"[45.67922537, -111.04823044]",Bozeman
1455,0,"[45.67922693, -111.04839797]",Bozeman
1456,0,"[45.67925887, -111.04844481]",Bozeman
1457,0,"[45.67912434, -111.04847959]",Bozeman
1461,0,"[29.98378319, -95.33473143]",Aldine
1468,1,"[-38.0271635, 145.2112317]",Hampton Park
1469,1,"[-38.0269936, 145.2110041]",Hampton Park
1511,0,"[33.94077727, -118.39921036]",El Segundo
1512,0,"[29.9866693, -95.3382794]",Aldine
1590,0,"[36.08655568, -115.1394417]",Paradise
1613,2,"[41.92992293, -87.66944213]",Chicago
1626,2,"[41.97890473, -87.91027352]",Bensenville
1639,1,"[41.9763291, -87.73856403]",Skokie
1648,2,"[51.3228191, 5.3576225]",Bergeijk
1660,0,"[43.56768225, -116.22061173]",Boise
1662,2,"[38.95201335, -77.44443882]",Oak Hill
1670,2,"[43.56764134, -116.22089932]",Boise
1696,0,"[39.8586527, -104.6718518]",Brighton
1707,0,"[40.69672337, -74.17710665]",Newark
1712,0,"[47.4390828, -122.300713]",SeaTac
1715,0,"[47.4389994, -122.3010208]",SeaTac
1728,0,"[39.85861469, -104.67233425]",Brighton
1749,1,"[-37.8536992, 145.1106176]",Camberwell
1758,0,"[39.8586566, -104.6718497]",Brighton
1759,0,"[39.8586593, -104.6718352]",Brighton
1768,0,"[39.85873319, -104.67372668]",Brighton
1814,0,"[37.83520596, -122.25460611]",Oakland
1825,0,"[29.98704632, -95.3378275]",Aldine
1826,0,"[29.98707518, -95.33783524]",Aldine
1833,0,"[41.97862209, -87.91469774]",Bensenville
1840,2,"[41.97456785, -87.90563774]",Bensenville
1855,2,"[25.79104444, -80.27338351]",Brownsville
1878,0,"[39.99829207, -82.88085401]",Gahanna
1886,0,"[39.99814659, -82.88058383]",Gahanna
1890,0,"[38.94562938, -77.44400264]",Oak Hill
1934,1,"[29.98872603, -95.3384666]",Aldine
1936,0,"[29.98870677, -95.33845443]",Aldine
1945,0,"[40.6941088, -74.17545854]",Newark
1971,0,"[39.99806982, -82.88439575]",Gahanna
2011,1,"[22.31355693, 113.92636768]",Tung Chung
2062,0,"[37.61980156, -122.38447633]",Millbrae
2063,0,"[33.94171725, -118.39844033]",El Segundo
2121,0,"[34.99254864, -80.92841859]",Rock Hill
2123,2,"[37.61829369, -122.39192247]",Millbrae
2131,1,"[21.32911863, -157.91749165]",Honolulu
2148,0,"[38.95801195, -77.44365722]",Oak Hill
2154,0,"[38.93770157, -77.4551004]",Oak Hill
2167,0,"[37.61839686, -122.38751]",Millbrae
2171,0,"[37.61926072, -122.38812564]",Millbrae
2215,0,"[38.95638224, -77.43898845]",Oak Hill
2237,0,"[35.07067492, -80.7899648]",Matthews
2250,0,"[43.60417384, -110.7362561]",Rexburg
2252,0,"[39.85760174, -104.66669625]",Brighton
2259,2,"[26.07294988, -80.14147128]",Dania Beach
2275,0,"[35.00096266, -80.87374938]",Rock Hill
2277,0,"[35.00595547, -80.89437239]",Rock Hill
2285,2,"[19.43010575, -99.18988829]",Polanco
2310,0,"[19.41622708, -99.16143525]",Benito Juarez
2366,0,"[37.61782989, -122.39172299]",Millbrae
2367,0,"[37.61761896, -122.39164663]",Millbrae
2379,0,"[40.72476892, -74.09204213]",Jersey City
2380,0,"[18.47066766, -68.40014139]",Punta Cana
2395,0,"[38.94291482, -77.44870496]",Oak Hill
2409,1,"[31.27777976, 121.59340615]",Shanghai
2416,0,"[33.84438223, -116.5516582]",Palm Springs
2417,0,"[33.84445776, -116.55139365]",Palm Springs
2428,0,"[40.73074756, -73.95248962]",Long Island City
2451,0,"[33.89611413, -84.33113356]",North Atlanta
2464,0,"[33.89638659, -84.33108377]",North Atlanta
2472,0,"[25.08347991, -77.3225763]",Nassau
2480,1,"[42.3613256, -71.0167387]",Chelsea
2503,2,"[39.74529398, -104.99225976]",Denver
2521,0,"[18.47240961, -68.39941149]",Punta Cana
2523,0,"[18.4729405, -68.39820768]",Punta Cana
2528,0,"[18.47233225, -68.39941165]",Punta Cana
2534,1,"[18.4710809, -68.39995916]",Punta Cana
2535,0,"[43.59688282, -72.96820686]",Rutland
2540,0,"[29.81532281, -95.40830048]",Houston
2549,2,"[41.9413787, -87.8932425]",Franklin Park
2551,2,"[41.9808176, -87.9063373]",Bensenville
2552,2,"[41.9809313, -87.9063148]",Bensenville
2566,0,"[33.99585652, -117.35791469]",Rubidoux
2576,2,"[33.94238375, -118.39906416]",El Segundo
2578,2,"[41.86591706, -87.6231238]",Chicago
2584,0,"[41.86590405, -87.62282728]",Chicago
2587,0,"[41.86589387, -87.62303178]",Chicago
2592,0,"[39.77848558, -104.90007634]",Commerce City
2594,0,"[39.77390684, -104.84537303]",Aurora
2599,0,"[39.83426941, -104.69960636]",Aurora
2600,0,"[39.83426941, -104.69960636]",Aurora
2601,0,"[41.86591215, -87.6231126]",Chicago
2605,0,"[39.84913886, -104.67403666]",Aurora
2619,0,"[40.71857786, -73.99426076]",New York City
2641,0,"[29.98498519, -95.3338971]",Aldine
2662,0,"[40.71518191, -73.99595593]",New York City
2703,0,"[38.26810946, -82.12153441]",Ashland
2716,2,"[37.61476852, -122.40521688]",San Bruno
